day,month,year,log_ret,react_label,date,common
5,7,2016,-0.015098532,Down,2016-07-05,1
6,7,2016,0.017629439,Up,2016-07-06,0
7,7,2016,0.015790499,Up,2016-07-07,1
8,7,2016,0.024051337,Up,2016-07-08,0
11,7,2016,0.017569161,Up,2016-07-11,1
12,7,2016,-0.01217738,Down,2016-07-12,1
13,7,2016,0.011308594,Up,2016-07-13,1
14,7,2016,0.019209257,Up,2016-07-14,0
15,7,2016,-0.034181844,Down,2016-07-15,1
18,7,2016,-0.011875531,Down,2016-07-18,0
19,7,2016,0.00386877,Up,2016-07-19,0
20,7,2016,0.004498755,Up,2016-07-20,0
21,7,2016,-0.002758008,Down,2016-07-21,0
22,7,2016,-0.003658961,Down,2016-07-22,1
25,7,2016,-0.012293554,Down,2016-07-25,0
26,7,2016,0.00344698,Up,2016-07-26,0
27,7,2016,0.004120834,Up,2016-07-27,1
28,7,2016,0.002794161,Up,2016-07-28,1
29,7,2016,0.003195315,Up,2016-07-29,0
1,8,2016,-0.01035664,Down,2016-08-01,0
2,8,2016,0.006966787,Up,2016-08-02,0
3,8,2016,-0.003323709,Down,2016-08-03,1
4,8,2016,0.004458034,Up,2016-08-04,1
5,8,2016,-0.003915016,Down,2016-08-05,1
8,8,2016,-0.027473927,Down,2016-08-08,1
9,8,2016,0.008267787,Up,2016-08-09,1
10,8,2016,-0.014657825,Down,2016-08-10,1
11,8,2016,0.013539474,Up,2016-08-11,1
12,8,2016,-0.010573847,Down,2016-08-12,1
15,8,2016,-0.063812319,Down,2016-08-15,0
16,8,2016,0.001635934,Up,2016-08-16,1
17,8,2016,-0.017307056,Down,2016-08-17,1
18,8,2016,-0.016445528,Down,2016-08-18,1
19,8,2016,-0.016829908,Down,2016-08-19,1
22,8,2016,0.023357399,Up,2016-08-22,1
23,8,2016,0.037041912,Up,2016-08-23,1
24,8,2016,-0.006200459,Down,2016-08-24,1
25,8,2016,-2.14e-05,Down,2016-08-25,1
26,8,2016,-0.005408531,Down,2016-08-26,0
29,8,2016,5.34e-05,Up,2016-08-29,0
30,8,2016,-0.001047504,Down,2016-08-30,0
31,8,2016,-0.001868165,Down,2016-08-31,0
1,9,2016,0.006496128,Up,2016-09-01,0
2,9,2016,0.007629051,Up,2016-09-02,1
5,9,2016,0.005864758,Up,2016-09-05,0
6,9,2016,-0.00881904,Down,2016-09-06,1
7,9,2016,0.004041522,Up,2016-09-07,1
8,9,2016,-0.002728007,Down,2016-09-08,0
9,9,2016,-0.026012911,Down,2016-09-09,0
12,9,2016,-0.009211392,Down,2016-09-12,1
13,9,2016,-0.004109446,Down,2016-09-13,1
14,9,2016,0.02484845,Up,2016-09-14,1
15,9,2016,0.002284867,Up,2016-09-15,1
16,9,2016,0.02350965,Up,2016-09-16,1
19,9,2016,-0.006289047,Down,2016-09-19,1
20,9,2016,0.044128245,Up,2016-09-20,1
21,9,2016,-0.013594906,Down,2016-09-21,1
22,9,2016,0.01862407,Up,2016-09-22,1
23,9,2016,-0.005322766,Down,2016-09-23,1
26,9,2016,-0.018719233,Down,2016-09-26,1
27,9,2016,-0.014771561,Down,2016-09-27,1
28,9,2016,0.020994423,Up,2016-09-28,1
29,9,2016,0.003554558,Up,2016-09-29,0
30,9,2016,0.044302972,Up,2016-09-30,1
3,10,2016,4.69e-06,Up,2016-10-03,0
4,10,2016,0.012299671,Up,2016-10-04,1
5,10,2016,-0.005425404,Down,2016-10-05,1
6,10,2016,0.004924294,Up,2016-10-06,1
7,10,2016,-0.009025668,Down,2016-10-07,1
10,10,2016,0.013843842,Up,2016-10-10,1
11,10,2016,0.007708919,Up,2016-10-11,1
12,10,2016,-0.007312651,Down,2016-10-12,1
13,10,2016,0.006915481,Up,2016-10-13,1
14,10,2016,0.014963643,Up,2016-10-14,1
17,10,2016,-0.000262023,Down,2016-10-17,0
18,10,2016,0.014168128,Up,2016-10-18,0
19,10,2016,0.005634832,Up,2016-10-19,1
20,10,2016,0.004153904,Up,2016-10-20,0
21,10,2016,0.004012162,Up,2016-10-21,1
24,10,2016,0.002345475,Up,2016-10-24,1
25,10,2016,0.020161369,Up,2016-10-25,1
26,10,2016,-0.011451535,Down,2016-10-26,1
27,10,2016,0.011551718,Up,2016-10-27,1
28,10,2016,-0.007184812,Down,2016-10-28,1
31,10,2016,-0.016108493,Down,2016-10-31,1
1,11,2016,-4.28e-05,Down,2016-11-01,1
2,11,2016,-0.011957756,Down,2016-11-02,1
3,11,2016,0.008658445,Up,2016-11-03,1
4,11,2016,-0.020095766,Down,2016-11-04,1
7,11,2016,0.026468804,Up,2016-11-07,1
8,11,2016,-0.00098123,Down,2016-11-08,1
9,11,2016,-0.009888291,Down,2016-11-09,1
10,11,2016,-0.016315901,Down,2016-11-10,1
11,11,2016,0.000585524,Up,2016-11-11,1
14,11,2016,0.021140275,Up,2016-11-14,1
15,11,2016,0.017820326,Up,2016-11-15,0
16,11,2016,-0.023814943,Down,2016-11-16,1
17,11,2016,0.011977512,Up,2016-11-17,1
18,11,2016,0.010205265,Up,2016-11-18,1
21,11,2016,0.004209898,Up,2016-11-21,0
22,11,2016,-0.001280549,Down,2016-11-22,1
23,11,2016,-0.005685035,Down,2016-11-23,1
24,11,2016,0.003798472,Up,2016-11-24,1
25,11,2016,0.005687302,Up,2016-11-25,1
28,11,2016,0.000933227,Up,2016-11-28,1
29,11,2016,9.2e-05,Up,2016-11-29,1
30,11,2016,0.008015003,Up,2016-11-30,1
1,12,2016,-0.02220091,Down,2016-12-01,0
2,12,2016,-0.004854748,Down,2016-12-02,1
5,12,2016,0.007782843,Up,2016-12-05,0
6,12,2016,-0.002456134,Down,2016-12-06,1
7,12,2016,-0.00753977,Down,2016-12-07,1
8,12,2016,0.005749093,Up,2016-12-08,1
9,12,2016,0.006238093,Up,2016-12-09,0
12,12,2016,-0.000390034,Down,2016-12-12,1
13,12,2016,0.000280103,Up,2016-12-13,0
14,12,2016,-0.006238663,Down,2016-12-14,1
15,12,2016,0.002025325,Up,2016-12-15,0
16,12,2016,0.000326956,Up,2016-12-16,0
19,12,2016,0.007081063,Up,2016-12-19,1
20,12,2016,-0.001289787,Down,2016-12-20,0
21,12,2016,-0.013870465,Down,2016-12-21,1
22,12,2016,-0.005997415,Down,2016-12-22,1
23,12,2016,0.010055316,Up,2016-12-23,1
27,12,2016,0.011539595,Up,2016-12-27,1
28,12,2016,-0.005186846,Down,2016-12-28,1
29,12,2016,-0.000235826,Down,2016-12-29,0
30,12,2016,-0.004377599,Down,2016-12-30,1
2,1,2017,-0.002926888,Down,2017-01-02,0
3,1,2017,-0.011573991,Down,2017-01-03,1
4,1,2017,0.00090086,Up,2017-01-04,1
5,1,2017,-0.045745824,Down,2017-01-05,0
6,1,2017,0.002730073,Up,2017-01-06,1
9,1,2017,-0.021269801,Down,2017-01-09,1
10,1,2017,-0.005853328,Down,2017-01-10,1
11,1,2017,0.033169278,Up,2017-01-11,1
12,1,2017,-0.0066774,Down,2017-01-12,0
13,1,2017,-0.007435929,Down,2017-01-13,1
16,1,2017,-0.007429589,Down,2017-01-16,1
17,1,2017,0.003358538,Up,2017-01-17,1
18,1,2017,0.034797524,Up,2017-01-18,1
19,1,2017,0.00920211,Up,2017-01-19,1
20,1,2017,-0.004832497,Down,2017-01-20,1
23,1,2017,-0.01944557,Down,2017-01-23,1
24,1,2017,-0.004854515,Down,2017-01-24,0
25,1,2017,-0.012471188,Down,2017-01-25,1
26,1,2017,-0.007041208,Down,2017-01-26,1
27,1,2017,-0.00400275,Down,2017-01-27,0
30,1,2017,-0.010821173,Down,2017-01-30,1
31,1,2017,-0.00080338,Down,2017-01-31,0
1,2,2017,0.016438187,Up,2017-02-01,0
2,2,2017,-0.01521681,Down,2017-02-02,1
3,2,2017,0.011949124,Up,2017-02-03,1
6,2,2017,-0.009463982,Down,2017-02-06,0
7,2,2017,0.013022757,Up,2017-02-07,1
8,2,2017,0.02586455,Up,2017-02-08,0
9,2,2017,-0.006234652,Down,2017-02-09,1
10,2,2017,-0.007265993,Down,2017-02-10,0
13,2,2017,-0.003477257,Down,2017-02-13,1
14,2,2017,-0.008544339,Down,2017-02-14,0
15,2,2017,-0.037846549,Down,2017-02-15,1
16,2,2017,0.005609573,Up,2017-02-16,1
17,2,2017,0.000722936,Up,2017-02-17,1
20,2,2017,0.009877037,Up,2017-02-20,1
21,2,2017,0.006594168,Up,2017-02-21,0
22,2,2017,0.005559729,Up,2017-02-22,0
23,2,2017,-0.015156287,Down,2017-02-23,1
24,2,2017,-0.003424267,Down,2017-02-24,0
27,2,2017,-0.006499716,Down,2017-02-27,1
28,2,2017,-0.005526695,Down,2017-02-28,1
1,3,2017,0.005300688,Up,2017-03-01,1
2,3,2017,-0.001696555,Down,2017-03-02,1
3,3,2017,-0.036777308,Down,2017-03-03,1
6,3,2017,0.000834711,Up,2017-03-06,1
7,3,2017,-0.003099966,Down,2017-03-07,1
8,3,2017,-0.003076366,Down,2017-03-08,1
9,3,2017,0.012228316,Up,2017-03-09,1
10,3,2017,0.00035136,Up,2017-03-10,1
13,3,2017,0.00860065,Up,2017-03-13,1
14,3,2017,-0.005744747,Down,2017-03-14,1
15,3,2017,0.005494348,Up,2017-03-15,1
16,3,2017,0.000217453,Up,2017-03-16,0
17,3,2017,-0.009398171,Down,2017-03-17,1
20,3,2017,0.000311557,Up,2017-03-20,1
21,3,2017,-0.007047222,Down,2017-03-21,1
22,3,2017,-0.013493771,Down,2017-03-22,1
23,3,2017,-0.009140259,Down,2017-03-23,1
24,3,2017,-0.027442234,Down,2017-03-24,0
27,3,2017,-0.013635686,Down,2017-03-27,1
28,3,2017,-0.001766036,Down,2017-03-28,0
29,3,2017,-0.018903554,Down,2017-03-29,1
30,3,2017,0.003150453,Up,2017-03-30,0
31,3,2017,-0.032811565,Down,2017-03-31,1
3,4,2017,-0.0096687,Down,2017-04-03,1
4,4,2017,-0.008187996,Down,2017-04-04,1
5,4,2017,0.003271806,Up,2017-04-05,1
6,4,2017,0.020690553,Up,2017-04-06,1
7,4,2017,0.012578524,Up,2017-04-07,1
10,4,2017,-0.012397342,Down,2017-04-10,1
11,4,2017,-0.010453921,Down,2017-04-11,0
12,4,2017,0.000777773,Up,2017-04-12,0
18,4,2017,0.030181104,Up,2017-04-18,1
19,4,2017,-0.031502946,Down,2017-04-19,1
20,4,2017,0.007496064,Up,2017-04-20,0
21,4,2017,-0.004193502,Down,2017-04-21,1
24,4,2017,0.008878357,Up,2017-04-24,1
25,4,2017,0.032896778,Up,2017-04-25,0
26,4,2017,0.014932554,Up,2017-04-26,1
27,4,2017,0.025798652,Up,2017-04-27,0
28,4,2017,0.008859356,Up,2017-04-28,1
2,5,2017,0.023261417,Up,2017-05-02,1
3,5,2017,-0.003687564,Down,2017-05-03,1
4,5,2017,-0.001028849,Down,2017-05-04,0
5,5,2017,0.034187904,Up,2017-05-05,1
