Component1LM,Component2LM,Component3LM,Component4LM,Component5LM,Component6LM,Component7LM,Component8LM,Component9LM,Component10LM,date
1.66957164322715,-0.104759532964823,-0.0403526865381714,0.042247525899501,0.455843997683349,0.0899337786774261,0.0936717177297142,-0.672845679167171,-0.219977233673788,0.186503932846491,"2016-01-13"
1.66957164322717,-0.104759532964824,-0.0403526865381696,0.0422475258995124,0.45584399768337,0.0899337786774672,0.0936717177296941,-0.672845679167159,-0.219977233673776,0.186503932846496,"2016-01-14"
1.66957164322721,-0.104759532964829,-0.0403526865381761,0.0422475258995085,0.45584399768336,0.0899337786774443,0.0936717177297067,-0.672845679167207,-0.219977233673752,0.186503932846486,"2016-01-15"
4.34719849846341,-0.908943373102214,2.39431616723215,-0.00313132724107381,0.0148962569809587,-1.5347040333534,1.36438770692507,0.12162200046557,0.972588756078227,-0.302631932993261,"2016-01-18"
-0.573483995995597,-0.29940152655263,-1.08717050251204,0.172036925238569,0.295553973770844,0.732241355216929,-0.741437952266476,-0.244923150537875,-0.427908187310373,-0.176452922827682,"2016-01-19"
-2.02387342524346,-0.653252841365349,-1.82563525382451,-0.147629238899757,0.00605161068705102,1.23766029354292,-1.0730967663429,0.172954442777848,-0.301699775126743,-0.404609853224542,"2016-01-20"
6.03624417167005,-0.185865576479837,4.02414837730474,0.153869299523112,0.351757273278256,-1.88230954926814,2.13775772153673,-0.162985032818882,1.09440655929052,0.574349058581464,"2016-01-21"
8.27632867796347,-1.84963746088799,2.3332812838971,0.0876411667404815,0.386764859635138,-1.42438979973768,1.55871476019197,0.0486718621296262,0.579122880431772,-2.26909824858083,"2016-01-22"
8.27632867796346,-1.849637460888,2.33328128389708,0.0876411667405048,0.386764859635146,-1.42438979973769,1.55871476019198,0.0486718621296446,0.579122880431772,-2.26909824858084,"2016-01-25"
8.27632867796349,-1.849637460888,2.33328128389709,0.0876411667404846,0.386764859635143,-1.42438979973768,1.55871476019197,0.0486718621296304,0.579122880431781,-2.26909824858083,"2016-01-26"
8.27632867796349,-1.84963746088798,2.33328128389708,0.0876411667404755,0.386764859635141,-1.42438979973767,1.55871476019197,0.0486718621296365,0.579122880431768,-2.26909824858083,"2016-01-27"
5.44980276100999,0.487639073270308,1.9556839664985,0.0345631358765922,0.805445587603935,1.90166765004875,0.595856236741898,1.9067582855674,-0.435518717943645,3.01656524645604,"2016-01-28"
-7.38121685128859,-2.73117382876261,-4.6694599241065,-2.94012992713529,-1.88011232402198,-1.30083177636572,2.26872142741879,3.36583339861686,0.275094167067833,-1.65142482293671,"2016-01-29"
6.22526834049831,-3.28672535983428,3.05540843968898,2.30671957708124,-0.722812466740347,-1.17425529956424,1.36739924836201,0.409747504557582,0.554869335781222,-0.609033536400353,"2016-02-01"
-3.19349101797937,1.40273208866483,-1.83550937993942,-1.4784997514406,1.14554320386755,0.302226023206098,-1.19432880237662,-0.351854922219925,0.42562227405638,0.482900922837359,"2016-02-02"
-1.63156065227677,0.942687500758165,-1.05537989820405,-0.776814596440723,0.748793531471906,0.450911738814512,-0.634691319705618,-0.308595384112583,0.241037052488416,0.593320599378696,"2016-02-03"
0.312395707811225,-0.067951622046195,-0.082622153437184,-0.206271050128739,0.377062640598937,0.00293228747800628,-0.0750387445046256,0.00178980567958021,0.128709134577429,0.090831780555275,"2016-02-04"
0.312395707811217,-0.0679516220461977,-0.0826221534371903,-0.206271050128733,0.377062640598941,0.00293228747800858,-0.0750387445046326,0.00178980567957929,0.12870913457743,0.0908317805552794,"2016-02-05"
0.312395707811231,-0.0679516220461971,-0.0826221534371884,-0.20627105012874,0.377062640598942,0.00293228747799888,-0.0750387445046273,0.00178980567959152,0.128709134577431,0.0908317805552805,"2016-02-08"
0.312395707811232,-0.0679516220461975,-0.0826221534371817,-0.206271050128736,0.377062640598937,0.00293228747800009,-0.0750387445046234,0.0017898056795759,0.128709134577436,0.0908317805552799,"2016-02-09"
0.312395707811241,-0.0679516220461956,-0.0826221534371901,-0.206271050128732,0.377062640598943,0.00293228747800541,-0.0750387445046188,0.0017898056795793,0.128709134577428,0.0908317805552777,"2016-02-10"
0.312395707811208,-0.0679516220461824,-0.0826221534371609,-0.206271050128738,0.377062640598917,0.00293228747803099,-0.0750387445046262,0.00178980567956017,0.128709134577433,0.0908317805552657,"2016-02-11"
0.312395707811234,-0.0679516220461893,-0.0826221534371908,-0.206271050128729,0.377062640598937,0.00293228747801076,-0.0750387445046255,0.00178980567958037,0.128709134577439,0.0908317805552799,"2016-02-12"
3.83682443500043,-0.190783686936939,2.24013037006329,-0.471445860523813,0.191884834797595,-1.23863279523096,1.50732559192157,-0.33022030157208,1.15849319858846,-0.241504143646304,"2016-02-15"
0.495981735713677,-0.274202260046638,-0.168928069891819,0.129211964558492,0.325943753152888,0.201259685368636,-0.113418697668624,-0.0208104564333768,-0.0250920992615555,0.0431767909259631,"2016-02-16"
0.49598173571368,-0.274202260046641,-0.168928069891818,0.129211964558492,0.325943753152888,0.201259685368636,-0.113418697668626,-0.0208104564333772,-0.0250920992615595,0.0431767909259666,"2016-02-17"
0.495981735713692,-0.274202260046641,-0.168928069891825,0.129211964558482,0.32594375315289,0.201259685368629,-0.113418697668631,-0.0208104564333703,-0.025092099261561,0.0431767909259674,"2016-02-18"
0.495981735713692,-0.274202260046627,-0.168928069891828,0.129211964558498,0.325943753152889,0.201259685368633,-0.113418697668621,-0.0208104564333737,-0.0250920992615564,0.0431767909259667,"2016-02-19"
