Component1extend,Component2extend,Component3extend,Component4extend,Component5extend,Component6extend,Component7extend,Component8extend,Component9extend,Component10extend,date
0.888261870937089,0.240468608737303,-0.176106585638361,0.0135880224997154,0.0524182621709509,-0.0554507176164581,0.169852594681159,0.196127734184811,0.108359084333598,-0.179799183679614,"2016-01-13"
0.888261870937016,0.240468608737301,-0.176106585638363,0.0135880224997074,0.0524182621709342,-0.0554507176164571,0.169852594681187,0.196127734184816,0.108359084333596,-0.179799183679635,"2016-01-14"
0.888261870937084,0.240468608737311,-0.176106585638379,0.0135880224996909,0.0524182621709134,-0.0554507176164616,0.169852594681166,0.196127734184831,0.108359084333618,-0.17979918367964,"2016-01-15"
3.38222573181205,-0.406938365454899,-0.845113566771354,-2.22353762965454,-0.838879402400378,0.277847565100374,-0.609435732703439,-0.277763314060354,0.271940833691259,0.270042180373601,"2016-01-18"
0.757737968806183,0.0720413812277746,-0.190549080791124,-0.161817219265534,-0.0596483101381214,0.0284881607075224,-0.0069319568121908,0.00754813755158071,0.194775761372212,-0.0414997981419256,"2016-01-19"
-3.03057086185138,-0.567194519197812,0.976869148053897,1.90388758448952,1.24464324269548,-0.402794292209102,-0.00622222250344341,0.615727265994603,-0.604099110896851,0.252540507245076,"2016-01-20"
3.72457856297876,0.259798243073638,-1.00619255632073,-2.3963021573905,-0.84122976929548,0.143148277429466,-0.0481283429167878,-0.332822884731559,0.557439158902791,-0.377721168483808,"2016-01-21"
0.481210298425502,0.0744264483175705,-0.143117257722017,0.0326563471579485,0.0643834987527237,-0.0265486964069736,0.0394521722189338,0.0703992261763909,0.152470974795858,-0.016707828885706,"2016-01-22"
0.481210298425502,0.0744264483175767,-0.143117257722024,0.0326563471579582,0.06438349875273,-0.0265486964069728,0.0394521722189427,0.0703992261763915,0.15247097479586,-0.0167078288857028,"2016-01-25"
0.481210298425511,0.0744264483175678,-0.14311725772203,0.0326563471579623,0.0643834987527334,-0.0265486964069749,0.0394521722189431,0.0703992261763917,0.152470974795866,-0.0167078288857046,"2016-01-26"
0.481210298425502,0.0744264483175594,-0.14311725772201,0.0326563471579494,0.0643834987527319,-0.0265486964069751,0.0394521722189187,0.0703992261763897,0.152470974795863,-0.0167078288856763,"2016-01-27"
2.10244934368273,0.549259174790015,-0.275122125757561,-0.310787920397876,0.460771515855446,-0.397955333577502,-0.379394227097572,-0.171917024047184,0.515472641727,-0.390579314107919,"2016-01-28"
-5.74670536250369,-2.20655273301647,2.9011745180766,3.59363598807878,0.304255049857844,2.27458216786418,-3.58559356279989,-0.37017574040541,1.600292075395,2.65782811380373,"2016-01-29"
3.68095960117373,-1.35395727304718,-1.26790376294598,-2.41320366071082,0.809421810546983,0.376144750958468,-0.924709944668194,-1.20651714161755,-0.179713879049748,-0.374255445140681,"2016-02-01"
-4.21790213854425,1.6918040390343,1.23315980170312,2.58615000189695,-1.32463123184992,-0.369063002846155,1.19072652784752,1.70365911486202,0.257316366450286,1.1179936914827,"2016-02-02"
-3.62028193218979,1.855257208626,1.49920049588401,2.56035017509447,-1.18239798014084,-0.500817822275599,0.981836380847582,1.71868582088354,-0.0561368998130597,0.910142950358469,"2016-02-03"
-0.622496955234839,0.283164757529163,0.0647933053149599,0.609167376185268,-0.308459549919049,-0.00443392444928859,-0.0405790442513478,0.258244699753637,0.0757168009723222,0.364971104128605,"2016-02-04"
-0.622496955234854,0.283164757529169,0.0647933053149633,0.609167376185253,-0.308459549919077,-0.00443392444930338,-0.0405790442513539,0.258244699753636,0.0757168009723275,0.364971104128601,"2016-02-05"
-0.622496955234818,0.283164757529164,0.0647933053149566,0.609167376185261,-0.308459549919047,-0.00443392444929404,-0.040579044251352,0.258244699753637,0.0757168009723266,0.364971104128601,"2016-02-08"
-0.622496955234822,0.283164757529153,0.0647933053149475,0.609167376185272,-0.308459549919056,-0.00443392444929598,-0.0405790442513589,0.258244699753628,0.0757168009723179,0.364971104128604,"2016-02-09"
