topic0,iceland,licens,arnarlax,icelandic_salmon,capac,samherji,laxar,icelandic_salmon_farm,good,arctic_fish,countri,fjord,ice_fish_farm,subsidiari,fish_farm,potenti,gener,biomass,addit,total,east,allow,coast,alreadi,exist,masov,smolt,within,maximum,creat,aim,jonsson,owner,build,mab,gadu,opportun,next_year,equip,next,value_chain,fiskeldi,appli,isk,arctic,formerli,handl,cooper,davidsson,decemb,explor,combin,primari,output,expans,west,oct,assess,char,fulli,newli,hembr,set,final,begin,arnalax,helgason,jon,util,kjartan,erupt,last_year,annual,bjorn,gave,geotherm,salmon_farming_industri,belgium,westfjord,holder,brim,everyth,belgian,gardar,måsøval,slaughter,station,petursson,approxim,initi,present,barg,winter,approv,mri,olafsson,jen,volcano,divest,arnarfjordur
 ,0.047,0.043,0.034,0.024,0.022,0.021,0.02,0.018,0.018,0.018,0.017,0.017,0.016,0.013,0.012,0.012,0.012,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic6,look,stori,world,news,editor,yet,execut,coronaviru,next,discuss,keep,better,thing,analysi,problem,week,play,latest,eye,might,big,break,page,free,farmed_salmon,listen,find,biggest,intellig,previou,littl,team,search,stop,appear,cannot,add,check,salmon_industri,version,join,effect,hand,innov,track,secret,thought,money,googl,chief,headlin,plu,visit,solut,farmed_salmon_sector,podcast,depth,promis,exactli,bigger,coverag,insight,email,subscrib,let,beat,featur,maker,daili,heart,wait,ground,america,grow,matter,threaten,journey,newli,begin,pleas,optim,storm,seafood_compani,feel,show,imposs,pop,think,dirti,artifici,guess,ahead,seafood_industri,brought,topic,alaska_pollock,episod,comprehens,remain,reinvent
 ,0.037,0.025,0.021,0.02,0.017,0.015,0.015,0.014,0.014,0.014,0.013,0.013,0.013,0.013,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic7,shrimp,tuna,thai_union,billion,margin,busi,thb,stabl,thai,red,thailand,lobster,brand,ecuador,india,raw,shelf,bee,bumbl,raw_materi,unit,metric_ton,chill,gross,quarter,categori,remain,coldwat,core,sujiravorakul,asia,chansiri,indian,secur,surg,sea,target,bualuang,expens,supply_chain,gain,re,indonesia,west,united_st,led,client,villalon,sardin,tu,greater,pond,percent_year,chain,profit,march,chicken,ambient,foreign,southeast,innov,mackerel,exchang,peak,volatil,frozen,yellowfin,pet,third_quart,vietnam,bluefin,item,recoveri,lead,transform,percent_increas,recent,better,gate,inventori,relat,taiwan,late,outweigh,skipjack,malaysia,hanson,oem,philippin,valu,exclud,pacif,em,privat,black,assum,set,shallow,oscar,restaur
 ,0.119,0.062,0.033,0.026,0.023,0.02,0.017,0.015,0.014,0.014,0.014,0.013,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic8,franc,french,de,pure_salmon,poland,local,announc,countri,largest,close,project,middl,trout,east,site,mer,sur,boulogn,financi,open,grown,aquapon,amp,smoked_salmon,plant,region,receiv,due,annual,european,saumon,recal,asset,distribut,japan,support,suppli,sold,closur,listeria,aim,smoker,locat,la,earlier,govern,smoke,director,northern,saudi,face,busi,date,run,consult,polish,kaldn,ton,within,across,arabia,le,coupl,hub,facil,pari,europ,assist,recent,past,public,store,nation,eastern,worth,cooper,juli,seri,cite,carrefour,veolia,occitan,roll,collect,addit,abu,petit,coast,itali,proxim,emir,dhabi,founder,vike,contribut,switzerland,salmon_compani,david,target,kruger
 ,0.057,0.038,0.024,0.018,0.015,0.015,0.014,0.014,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic9,canada,decis,british_columbia,minist,bc,cermaq,first_nat,nation,mowi,discovery_island,canadian,fisheri,govern,site,west,licens,transfer,commun,netpen,territori,provinc,ocean,jordan,feder,indigen,island,dfo,mowi_canada,phase,region,right,allow,renew,consult,review,june,wai,vancouv,associ,announc,transit,xai,support,area,coast,agreement,wild_salmon,job,close,court,chief,impact,trudeau,peopl,discuss,farmer,closur,employe,grieg,tradit,bernadett,ask,leader,parti,member,ad,kitasoo,murray,kai,river,repres,judici,coastal,move,klemtu,mi,remov,department_of_fisheri,locat,liber,coalit,expir,direct,clearwat,campbel,cull,employ,kum,bcsfa,engag,partnership,wei,annual,cad,justin,next_year,kmaq,tlowitsi,commit,grieg_seafood
 ,0.05,0.028,0.028,0.025,0.022,0.022,0.021,0.02,0.02,0.018,0.017,0.015,0.013,0.013,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic10,lot,think,much,happen,good,realli,big,peopl,thing,know,money,done,quit,someth,littl,far,seem,last,might,everyth,everyon,past,cours,reason,sure,though,cannot,surpris,enough,actual,mean,pretti,want,probabl,great,stop,day,noth,case,side,bad,bit,hard,fact,mayb,push,got,plenti,stay,anyth,feel,lose,run,point,thought,question,behind,certainli,either,perhap,gone,buy,turn,doubt,happi,sit,soon,worri,agre,care,usual,bet,simpli,given,easi,exactli,kind,els,extrem,ultim,attent,believ,small,inde,typic,tri,brought,ye,yet,interest,coupl,instead,heard,harder,alon,keep,suddenli,difficult,expens,onto
 ,0.038,0.036,0.032,0.023,0.02,0.018,0.018,0.018,0.017,0.017,0.017,0.014,0.014,0.014,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic11,salmon_evolut,land,south,hofseth,dongwon,aqua,facil,invest,phase,project,start,based_salmon_farm,korea,construct,joint_ventur,berg,korean,establish,intern,build,biocar,capit,smart,announc,rais,sign,indr,recent,roger,aim,ronja,tonseth,march,flow,firm,fresh,largest,haroy,enter,partner,ton,chairman,andr,hakon,gigant,place,annual,tore,issu,earlier,ink,based_salmon,togeth,vike,percent_stak,owner,biotech,metric,hbc,distribut,seafood_gi,budget,biotechnolog,agreement,name,fourth_quart,oil,sogn,end,use,lak,based_salmon_produc,collabor,artec,patient,inject,private_plac,halsebakk,consult,deal,kraft,regard,havbruk,purpos,energi,relat,mold,clinic,partnership,connect,vest,plant,hypertherm,outsid,enova,garden,extern,nonetheless,western,secur
