topic0,iceland,licens,arnarlax,icelandic_salmon,capac,samherji,laxar,icelandic_salmon_farm,good,arctic_fish,countri,fjord,ice_fish_farm,subsidiari,fish_farm,potenti,gener,biomass,addit,total,east,allow,coast,alreadi,exist,masov,smolt,within,maximum,creat,aim,jonsson,owner,build,mab,gadu,opportun,next_year,equip,next,value_chain,fiskeldi,appli,isk,arctic,formerli,handl,cooper,davidsson,decemb,explor,combin,primari,output,expans,west,oct,assess,char,fulli,newli,hembr,set,final,begin,arnalax,helgason,jon,util,kjartan,erupt,last_year,annual,bjorn,gave,geotherm,salmon_farming_industri,belgium,westfjord,holder,brim,everyth,belgian,gardar,måsøval,slaughter,station,petursson,approxim,initi,present,barg,winter,approv,mri,olafsson,jen,volcano,divest,arnarfjordur
 ,0.033,0.025,0.022,0.021,0.018,0.018,0.017,0.015,0.015,0.014,0.013,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic17,sea_lic,use,treatment,lice,antibiot,vaccin,diseas,reduc,health,fish_health,sea,control,medicin,effect,chemic,prevent,method,resist,treat,problem,mechan,level,use_of_antibiot,mortal,cleaner,cycl,rate,usag,count,sr,reduct,remov,gram,part,farmer,challeng,strategi,sealic,tool,combat,pd,live,veterinari,solut,welfar,parasit,number,hydrogen,improv,toward,infest,protect,gill,bath,deploy,salmon_farming_industri,lumpfish,signific,trial,combin,biolog,good,wrass,pharmaq,stage,non,lead,dose,tout,techniqu,peroxid,pharmaceut,adopt,freshwat,residu,surviv,immun,sensit,salmon_industri,compon,promis,water,adult,tackl,seek,barrier,fight,solv,innov,delous,seven,efficaci,laser,battl,msd,encourag,progress,antimicrobi,slice,peak
 ,0.083,0.068,0.055,0.033,0.029,0.026,0.026,0.022,0.018,0.017,0.015,0.015,0.014,0.014,0.012,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic18,director,execut,role,join,appoint,former,posit,offic,name,cfo,chief,hire,serv,step,team,replac,experi,coo,head,lead,prior,previous,held,vice_presid,announc,exec,leav,respons,left,resign,senior,bring,move,promot,global,newli,top,depart,took,spent,veteran,commerci,interim,januari,retir,background,leadership,departur,career,excit,ex,transit,led,variou,presid,formerli,linkedin,act,boss,overse,oct,helm,board_of_director,jan,oen,md,longtim,smith,vp,forward,exit,becom,founder,novemb,decad,suit,spearhead,rein,technic,reshuffl,poach,thoma,oyvind,assum,ann,kristin,castro,onboard,solberg,start,task,later,profil,jon,valderhaug,multi,perman,staff,tenur,divis
 ,0.077,0.071,0.047,0.034,0.033,0.033,0.03,0.027,0.025,0.023,0.022,0.021,0.02,0.02,0.019,0.018,0.017,0.015,0.015,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic19,public,need,social,want,understand,right,know,commun,respons,media,point,lack,question,concern,cannot,stori,ask,tell,fact,must,inform,open,actual,believ,critic,done,recent,messag,real,thing,awar,trust,peopl,accept,tri,issu,wrong,respond,human,director,engag,reli,percept,avoid,call,give,highlight,sure,rather,influenc,associ,reput,hard,speak,comment,suggest,survey,ngo,let,use,answer,address,entir,voic,email,view,sent,talk,parti,decis,matter,mistak,basic,choos,stand,letter,simpl,opinion,expert,column,press,transpar,colleagu,articl,simpli,often,ignor,realiti,ethic,problem,unfortun,someon,word,feel,debat,care,bad,fad,agre,send
 ,0.022,0.02,0.018,0.018,0.018,0.017,0.016,0.016,0.015,0.014,0.014,0.014,0.014,0.013,0.013,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic20,level,low,volum,lower,higher,remain,salmon_pric,stabl,rate,spot,contract,normal,due,rel,spot_pric,significantli,end,previou,although,reach,same_tim,hit,pool,lowest,currenc,almost,histor,second_half,last_year,though,high_pric,highest,record,fall,stabil,weak,slightli,compar,similar,good,somewhat,situat,mainli,fluctuat,strong,fix,exchang,suggest,august,toward,weaken,bottom,nevertheless,last,gener,volatil,margin,despit,much,stronger,averag,character,mark,fewer,push,factor,unchang,marten,steadi,return,autumn,production_cost,extrem,point,addit,krone,spike,bounc,ege,next_year,rest,favor,skyrocket,coupl,partli,fishpool,salmon_market,overal,prospect,meant,hedg,septemb,contribut,bright,harvest_volum,particular,upward,outlook,bargain,therefor
 ,0.092,0.067,0.06,0.054,0.047,0.035,0.031,0.03,0.024,0.023,0.02,0.016,0.015,0.014,0.014,0.014,0.013,0.012,0.011,0.01,0.01,0.01,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic21,season,bristol_bay,fishermen,alaska,sockey,run,fisheri,pound,copper_riv,catch,forecast,record,averag,last_year,project,region,processor,king,open,sockeye_salmon,pink,pay,district,return,total,juli,river,vessel,ex,area,game,salmon_harvest,bbrsda,commerci,caught,associ,state,day,summer,set,seattl,adfg,buyer,paid,predict,chum,wild_salmon,department_of_fish,news,earli,wink,condit,nearli,poor,fisherman,roe,adf,salmon_season,major,recent,limit,valuabl,data,start,greater,sound,circl,william,june,recent_year,bay,princ,wild,late,nushagak,qfc,monday,lowest,lesh,declin,slow,southeast,cordova,final,cent,exceed,peak,pre,washington,davi,anticip,naknek,alaska_salmon,smaller,migrat,fetch,pick,arriv,rang,count
 ,0.047,0.036,0.035,0.032,0.03,0.024,0.023,0.022,0.019,0.018,0.016,0.014,0.013,0.013,0.012,0.012,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic22,benchmark,egg,genet,health,busi,breed,nutrit,advanc,commerci,program,broodstock,select,launch,aquagen,shrimp,anim,pye,deliv,core,gener,progress,trial,posit,success,global,area,resist,next,technolog,restructur,jv,divis,adjust,complet,strateg,provid,full,williksen,firm,cleantreat,ova,focu,support,unit,joint_ventur,return,non,hendrix,field,key,technic,mileston,specialist,deliveri,center,malcolm,vet,stofnfiskur,purif,research,enhanc,seabass,number,line,fish_health,biotechnolog,london,pleas,hold,structur,strain,trond,ectosan,salmonid,pipelin,profunda,opportun,biosecur,servic,dispos,vaccin,biotech,worldwid,major,period,seabream,salten,sept,promis,divest,tilapia,georg,solut,plampin,ground,breakthrough,benefit,necessari,genom,step
 ,0.08,0.05,0.05,0.029,0.024,0.02,0.019,0.018,0.017,0.015,0.015,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic23,site,isa,author,confirm,diseas,outbreak,viru,detect,sampl,infect,infectious_salmon_anemia,area,case,suspect,food_safeti,cage,affect,test,found,inspect,remov,control,possibl,find,locat,await,presenc,earli,weight,contain,posit,spread,veterinari,carri,juli,averag,infecti,municip,cold,notifi,separ,inform,cull,analysi,trom,forc,variant,consequ,ellingsen,belong,finnmark,estim,south,suspicion,institut,near,prevent,deadli,determin,consist,routin,surveil,virus,destroy,empti,laboratori,special,seven,establish,zone,subject,restrict,relev,conduct,ipn,approxim,combat,store,analyz,pathogen,lab,map,extent,anaemia,monitor,nearbi,north,extract,anemia,examin,oct,region,seriou,therefor,fri,diagnosi,difficult,fish_health,question,tuesday
 ,0.112,0.059,0.041,0.038,0.037,0.032,0.025,0.024,0.018,0.017,0.017,0.016,0.015,0.015,0.015,0.012,0.012,0.012,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic24,escap,site,net,cage,damag,incid,storm,pen,investig,caus,weather,fire,occur,structur,recaptur,discov,accid,condit,author,due,spill,hole,equip,happen,area,confirm,lost,directorate_of_fisheri,wind,suffer,carri,die,sink,prevent,effort,clean,event,repair,count,meter,inspect,connect,moor,failur,august,weight,local,aug,recov,belong,batter,caught,inform,tear,fine,unfortun,led,immedi,netpen,diver,conduct,hit,weekend,saturday,massiv,weigh,releas,dead,quickli,leak,spokesperson,estim,tide,injuri,day,near,dec,wave,electr,polic,punta,crack,unknown,whale,locat,stormi,anchor,mainten,seab,sank,routin,relev,fail,redonda,procedur,notifi,late,seriou,captur,possibl
 ,0.102,0.05,0.034,0.029,0.025,0.025,0.024,0.018,0.015,0.013,0.013,0.011,0.011,0.011,0.01,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic25,main,project,land,nordic_aquafarm,permit,state,nordic,site,whole_ocean,based_salmon_farm,local,american,construct,belfast,citi,facil,california,build,aquafarm,move,properti,approv,applic,heim,receiv,final,emerg,fredrikstad,necessari,ra,design,resid,forward,mill,kuterra,conserv,begin,erik,united_st,oppon,former,acr,naess,offici,engin,use,news,environment,massiv,town,bucksport,close,water,ton,obtain,paper,execut,announc,depart,consid,opposit,metric,based_salmon,need,bay,public,access,rottingsn,counti,contain,last,right,ground,discharg,submit,remain,coast,propos,creat,scale,recirculating_aquaculture_system,presid,humboldt,job,offic,thompson,major,naf,landown,hold,commerci,hartley,bring,decker,resourc,commun,closer,support,domain,delay
 ,0.073,0.048,0.034,0.033,0.024,0.016,0.016,0.016,0.014,0.013,0.013,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic26,biomar,factori,feed,divis,raw_materi,volum,busi,revenu,improv,europ,diaz,addit,custom,line,mainli,sold,danish,competit,due,sea,turkey,full,bass,start,driven,shrimp,condit,bream,signific,capac,guidanc,overal,sever,unit,carlo,rel,part,ecuador,reach,challeng,strengthen,activ,foreign,consolid,support,contribut,emerg,gener,chang,market_shar,relat,primarili,exchang,tough,focus,joint_ventur,rang,mediterranean,australia,greek,feed_giant,salmon_market,fish_farm,middl,turkish,cover,near,america,denmark,countri,geograph,non,progress,function,perform,seabass,greec,main,emea,spain,east,especi,expans,fish_fe,dkk,gradual,moder,led,date,chile,hand,effect,seabream,co,mix,alimentsa,annual,core,speci,partli
 ,0.056,0.04,0.036,0.03,0.027,0.026,0.017,0.017,0.016,0.015,0.015,0.015,0.014,0.014,0.013,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic27,govern,state,call,econom,propos,concern,bill,fisheri,support,associ,legisl,protect,nation,council,issu,vote,law,trump,repres,presid,commun,decis,elect,act,pass,senat,urg,lawmak,member,express,mine,impact,ask,letter,hous,push,cite,committe,effect,final,controversi,administr,fear,feder,water,decad,polit,wednesday,opposit,oppos,scienc,statement,address,forward,job,introduc,hear,finfish,open,releas,local,action,ban,pebbl,secretari,fight,public,economi,epa,side,congress,commerci,option,consult,wrote,governor,donald,promis,known,demonstr,prohibit,singl,formal,floor,tribal,specif,consid,advoc,nativ,armi,politician,seek,corp,advisori,zone,consider,adopt,biden,harm,tribe
 ,0.029,0.023,0.021,0.019,0.018,0.018,0.017,0.015,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002
topic28,size,larg,larger,big,much,small,smaller,kilogram,differ,farmer,good,player,although,especi,littl,far,start,sever,believ,depend,mean,difficult,moment,pictur,vari,reason,medium,six,bigger,notic,slow,mix,actual,given,yet,variou,today,hand,same_tim,probabl,huge,trend,low,summer,roughli,earli,usual,ahead,contin,possibl,left,number,gap,mid,great,fairli,quit,rest,clear,bit,challeng,last_week,problem,seem,rang,rather,therefor,prefer,impress,spot,cautiou,estim,refer,ad,norwegian_salmon,worst,gener,often,third,decent,plenti,bad,cite,slower,wave,pool,gave,end,describ,lie,pay,smallest,may,weigh,soon,wide,got,particularli,particular,avail
 ,0.064,0.057,0.043,0.042,0.036,0.033,0.032,0.027,0.026,0.022,0.022,0.018,0.017,0.017,0.017,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.011,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic29,scotland,uk,scottish,export,scottish_salmon,brexit,govern,loch,sspo,scott,sector,scottish_salmon_farm,trade,duart,eu,busi,problem,custom,united_kingdom,need,border,issu,organis,delay,ross,execut,call,support,bodi,within,help,channel,minist,health,member,rural,tavish,cross,end,leav,forman,economi,full,chief,biggest,forc,disrupt,johnson,paperwork,laird,smoker,lead,access,extra,relat,ensur,food,hesketh,transit,compens,welcom,hawthorn,jan,associ,scottish_salmon_produc,singl,prfood,post,task,christma,servic,british,urgent,face,relationship,dawnfresh,shellfish,european_union,consign,seafood_industri,drink,grigg,landsburgh,prioriti,prime,departur,roug,januari,confus,scottish_salmon_industri,ewe,bracken,parliament,recogn,argyl,salmon_produc,huge,secretari,sunday,red
 ,0.075,0.071,0.047,0.026,0.025,0.025,0.021,0.021,0.017,0.014,0.012,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic30,europ,eu,european,trade,united_st,kingfish,asia,yellowtail,united_kingdom,potenti,netherland,countri,good,import,northern,european_union,tariff,may,remain,becom,particularli,dutch,part,negoti,eight,greenland,ireland,want,agre,toward,cooper,royal,split,commiss,move,protocol,ahead,hard,disput,zeeland,readi,fast,arm,intern,happen,denmark,polit,processor,side,wide,duti,highlight,agreement,origin,portion,switch,end,depend,mainland,legal,gave,rule,reason,impos,stand,ramp,creadev,continent,maiman,check,form,appli,vella,card,final,retaliatori,ground,ohad,war,sandberg,relianc,closer,corn,materi,bulk,firm,bloc,access,led,republ,pastoor,main,prime,welmar,vrolijk,non,intens,worri,instead,free
 ,0.075,0.059,0.056,0.053,0.043,0.03,0.021,0.019,0.016,0.016,0.015,0.013,0.013,0.013,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic31,order,akva,attack,strike,truck,end,region,supplier,arm,driver,equip,chile,offic,part,intak,main,day,countri,activ,ness,recent,impact,secur,protest,began,lago,presid,us_market,goycoolea,mapuch,south,set,right,block,deliveri,forc,cancel,sebastian,cage,indigen,conflict,transport,run,trucker,action,thursday,fire,led,sharp,backlog,union,along,servic,knut,prevent,push,struggl,reach,central,seven,spark,nordic,although,araucania,cyber,nine,road,bluglaci,got,public,cesar,threaten,america,constitut,leader,half,fuel,rafferti,left,last,held,amid,violent,warn,vehicl,took,unabl,book,threat,citi,solut,egersund,carri,factori,lead,highway,violenc,la,burn,cross
 ,0.062,0.055,0.026,0.024,0.021,0.02,0.016,0.016,0.016,0.016,0.014,0.013,0.012,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic32,cost,higher,reduc,rise,addit,reduct,expens,due,lower,pay,effect,margin,cut,competit,materi,save,factor,associ,rate,production_cost,inflat,estim,labor,relat,gener,pass,drive,meanwhil,consider,amount,struggl,turn,fuel,much,extra,incur,soar,pressur,spend,raw_materi,dollar,fix,offset,non,substanti,ad,processor,significantli,led,effici,variou,recur,benefit,impact,forc,logist,shortag,competitor,highli,staff,hefti,line,mainli,massiv,alloc,full,larg,cheaper,paper,transport,almost,prevail,give,squeez,face,versu,commod,recent_year,same_tim,input,origin,capac,rent,inflationari,hike,run,domstein,distribut,shrink,favor,bite,alon,steel,dive,particular,canner,reli,account,plastic,overhead
 ,0.249,0.059,0.027,0.022,0.021,0.02,0.017,0.016,0.016,0.016,0.014,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic33,salmar,offshor,ocean,fish_farm,central,aker,norwegian_salmon_farm,sea,witzo,area,project,open,coastal,invest,northern_norway,establish,rokk,unit,eid,larg,gustav,combin,scale,ing,technolog,coast,eventu,world,smart,ambit,locat,oil,possibl,kjell,lak,expos,havbruk,pilot,place,norwegian_salmon_produc,salmon_product,fjord,froya,salmon_produc,experi,requir,ervik,condit,forc,northern,platform,build,aquaculture_industri,equip,start,cycl,launch,author,suitabl,stand,design,biomarin,alreadi,refsn,krill,framework,olav,compet,form,collabor,andrea,lead,maritim,giant,value_chain,joint_ventur,mile,opportun,outsid,norwegian_aquacultur,leif,entir,norskott,engin,nordhamm,vard,activ,leap,atl,partnership,parti,full,creat,aas,cage,williksen,scottish_seafarm,wholli,billionair,hartmann
 ,0.142,0.092,0.062,0.032,0.025,0.023,0.019,0.016,0.015,0.013,0.011,0.011,0.011,0.011,0.01,0.01,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic34,food,brand,kvaroy,whole,premium,supplier,spain,arctic,launch,spanish,line,united_st,firm,labeyri,partner,partnership,help,distributor,sell,knutsen,doubl,expand,aim,angula,qualiti,giant,itali,intern,aguinaga,avail,norwegian_salmon_farm,famili,part,origin,verlasso,fortun,italian,co,use,dog,north_america,traceabl,hot,team,found,among,smoked_salmon,usa,lead,platform,bluglaci,access,amazon,strateg,becom,foundat,gain,chef,blockchain,jame,us_market,circl,wider,januari,join,network,chees,roll,fair,fine,fiskeoppdrett,la,portobello,prepar,ibm,torr,presenc,alf,select,seafarm,specialti,goran,scholarship,norwegian_salmon,june,push,gourmet,distribut,recent,strategi,surimi,multin,iberconsa,european,introduc,mussel,farn,fitch,beyond,want
