topic0,scotland,scottish,site,organ,loch,scottish_sea_farm,uk,scottish_salmon,local,scottish_salmon_farm,skye,marin,duart,isl,seal,director,freshwat,health,decis,locat,third,shetland,fish_farm,mark,forc,commun,sea,orkney,rural,permiss,seawat,osh,ensur,highland,effect,newli,united_kingdom,offici,meet,employ,council,deni,success,island,job,co,staff,previous,northeast,first_harvest,farmer,ross,bring,gill,alongsid,found,throughout,rear,roug,edinburgh,bracken,appeal,gael,within,macinn,wester,startup,hope,sspo,refus,incorpor,argyl,assist,intend,ewe,hadfield,satisfi,visscher,mill,brouwer,sutherland,wider,mainland,across,shutter,first_tim,dedic,train,fyne,shoot,hous,herald,scottish_salmon_produc,salmon_compani,gallagh,consent,balmaqueen,grown,dingwal,support
 ,0.068,0.031,0.03,0.023,0.02,0.02,0.018,0.017,0.016,0.015,0.014,0.014,0.014,0.013,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic6,week,kilo,ago,compar,kilogram,averag,average_pric,nasdaq,size,categori,weight_class,prior,kilo_on_averag,account,market_shar,salmon_pric,popular_s,sold,latest,saw,norwegian_salmon_pric,kg,farmed_salmon_pric,nearli,popular,previou,higher,weigh,drop,sell,across,hit,index,lower,farmed_salmon,figures_from_nasdaq,weight,figur,major,jump,climb,last_week,fell,dip,total,slightli,board,went,average_per_kilo,trade,decreas,past,data,fall,flat,smaller,earlier,class,slight,slip,norwegian_salmon,slide,nok,tumbl,gain,descent,next,interact,rest,sunk,larger,overal,creep,nudg,bump,sharpest,lift,spiral,largest,almost,comparison,notic,nevertheless,upsw,flatten,tracker,tipto,edg,crept,third,reach,wit,consecut,expens,fall_in_pric,downward,row,steepest,reced,recent
 ,0.173,0.123,0.041,0.039,0.038,0.032,0.031,0.03,0.022,0.022,0.019,0.019,0.017,0.016,0.016,0.016,0.015,0.014,0.014,0.014,0.013,0.012,0.012,0.012,0.012,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topic7,ship,contain,cost,coast,transport,processor,situat,shortag,issu,rate,pressur,packag,higher,suppli,struggl,materi,execut,blom,port,pay,pass,becom,face,may,freight,use,part,logist,side,ad,disrupt,deliveri,forc,capac,normal,associ,enough,term,much,almost,cannot,similar,fuel,plastic,led,expens,delay,soon,rise,paper,turn,space,firda,complic,problem,demand,steel,repres,stop,last,rout,across,avail,farmer,tri,fiskeoppdrett,spend,freez,scrambl,view,headach,greater,possibl,labor,previous,tin,concern,risen,recycl,along,compound,start,boom,horizon,call,typic,began,far,day,squeez,mean,gulkin,leav,soraa,dri,seri,flow,presid,extend,frescatto
 ,0.03,0.028,0.027,0.023,0.022,0.021,0.021,0.016,0.016,0.014,0.013,0.013,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic8,marine_harvest,region,north,south,recent,northern,open,grow,histori,busi,true,led,ahead,focu,last_year,origin,sold,best,van,dutch,america,handl,within,six,norwegian_salmon_gi,southern,right,der,next,foppen,known,present,thank,went,move,activ,allow,ace,taylor,strong,aquatec,leav,nearli,klaa,puul,enter,gray,give,aqua,last,twice,got,drive,gain,biggest,respect,stunner,past,regard,burn,decemb,syke,nattero,end,blackrock,februari,holland,stewart,wee,martha,edit,disturb,dalla,matj,costco,quarterli,previous,duo,chri,bankrupt,salmon_gi,bankruptci,doubl,sever,larger,unit,offic,høstlund,variou,bedford,video,spark,peac,vi,tech,plant,part,compass,main,kuyl
 ,0.167,0.091,0.064,0.047,0.026,0.024,0.022,0.022,0.015,0.015,0.014,0.013,0.012,0.011,0.011,0.011,0.011,0.01,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic9,vessel,servic,deliv,equip,wellboat,boat,order,meter,ship,capac,barg,line,supplier,built,design,deliveri,marel,transport,contract,cruis,cubic,full,combin,build,live,summer,largest,handl,fleet,instal,eight,manufactur,shipyard,arriv,load,condit,construct,maritim,crew,wide,reason,sign,outsid,schedul,engin,nine,fit,mainten,latest,carri,sail,hour,respons,onboard,valka,term,diesel,enabl,alsak,dess,pipelin,commiss,half,yard,marin,special,length,vard,spring,johnson,cpt,aboard,hybrid,six,dock,ronja,accommod,rostein,insid,anchor,passeng,possibl,larg,book,unload,start,carrier,solvtran,leas,batteri,aa,fill,aquaship,craft,gripship,sister,workboat,art,propuls,highli
 ,0.06,0.043,0.03,0.03,0.029,0.028,0.028,0.027,0.023,0.02,0.019,0.017,0.017,0.016,0.014,0.014,0.012,0.012,0.012,0.012,0.012,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic10,larg,big,size,larger,good,small,much,differ,smaller,although,farmer,player,especi,start,far,littl,avail,moment,gap,difficult,number,depend,huge,given,mean,slow,bigger,though,medium,vari,pictur,hope,probabl,rel,actual,happen,hard,mix,particularli,fill,challeng,notic,stabil,extra,quit,same_tim,soon,contin,excit,describ,usual,toward,sever,cheap,bit,fairli,rest,slower,typic,almost,enough,trend,cautiou,decent,wise,rang,problem,third,gone,roughli,lack,partli,plenti,yet,hand,fantast,wide,sometim,reason,expens,therefor,impress,six,possibl,distinct,gave,left,fetch,strong,soft,definit,went,fewer,end,clear,weigh,gener,worst,seem,side
