topic0,scotland,scottish,site,organ,loch,scottish_sea_farm,uk,scottish_salmon,local,scottish_salmon_farm,skye,marin,duart,isl,seal,director,freshwat,health,decis,locat,third,shetland,fish_farm,mark,forc,commun,sea,orkney,rural,permiss,seawat,osh,ensur,highland,effect,newli,united_kingdom,offici,meet,employ,council,deni,success,island,job,co,staff,previous,northeast,first_harvest,farmer,ross,bring,gill,alongsid,found,throughout,rear,roug,edinburgh,bracken,appeal,gael,within,macinn,wester,startup,hope,sspo,refus,incorpor,argyl,assist,intend,ewe,hadfield,satisfi,visscher,mill,brouwer,sutherland,wider,mainland,across,shutter,first_tim,dedic,train,fyne,shoot,hous,herald,scottish_salmon_produc,salmon_compani,gallagh,consent,balmaqueen,grown,dingwal,support
 ,0.085,0.062,0.05,0.042,0.036,0.031,0.02,0.019,0.019,0.018,0.018,0.016,0.015,0.015,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic16,nr,norway_royal_salmon,nt,share,sharehold,midt,merger,norsk_havbruk,largest,froy,announc,gaso,board,hostlund,ice_fish_farm,total,servic,chairman,salmonor,arctic_fish,bid,major,merg,masov,owner,subsidiari,charl,potenti,recent,helg,complet,singl,offer,iceland,giant,arctic,agreement,icelandic_salmon_farm,norsk,integr,acquir,control,norwegian_aquacultur,norwegian_salmon_farm,hold,fulli,kristoffersen,ownership,strateg,sell,combin,stock_exchang,consid,june,member,stake,part,licens,separ,transact,becom,divis,harvest_volum,period,specul,fish_farm,juli,fellow,spark,mid,becam,conglomer,havbruk,addit,novemb,wholli,naeringsutvikl,august,buy,boat,production_cost,trondelag,enter,earlier,coast,egil,salmon_compani,earli,norway_roy,wellboat,nil,ongo,hatlebrekk,extend,discuss,sjomat,nov,martin,win,today
 ,0.069,0.056,0.052,0.037,0.029,0.018,0.016,0.016,0.015,0.015,0.015,0.014,0.013,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic17,brand,retail,launch,line,smoke,smoked_salmon,consum,rang,packag,label,across,premium,sold,pack,uk,german,portion,privat,target,store,acm,roll,united_st,expand,readi,list,macknight,hot,chill,skin,categori,offer,natur,start,custom,co,avail,select,push,flavor,cold,sainsburi,united_kingdom,germani,recal,smokehous,smoker,prepar,fillet,march,new_york,box,debut,item,amazon,walmart,pure,introduc,featur,major,ounc,listeria,ago,similar,exclus,first_tim,rollout,fresh_salmon,unveil,smoked_salmon_product,food,salmon_product,platform,mix,caslow,findu,belgium,salmon_sal,advertis,pre,gourmet,cowan,shelv,poland,lidl,market_shar,harrison,costco,pate,slice,ducktrap,bowl,sauc,spenc,essenti,honey,nation,smoked_salmon_produc,squar,aldi
 ,0.111,0.049,0.049,0.035,0.028,0.026,0.025,0.017,0.014,0.014,0.013,0.013,0.013,0.013,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic18,export,kg,kilo,week,kilogram,nok,next_week,level,buyer,farmer,size,friday,norwegian_salmon_pric,sourc,last_week,volum,rise,holiday,fall,player,trade,littl,last_friday,higher,salmon_pric,today,lot,lower,europ,low,slightli,much,farmed_salmon_pric,buy,sold,head,end,sell,christma,pressur,bit,wait,easter,bought,ad,stabl,seller,talk,european,agre,anyth,sever,seem,probabl,difficult,spot,drop,earli,weight_class,yet,norwegian_salmon,left,quiet,demand,think,custom,fob,unsold,slow,tri,deliv,push,uncertainti,sharpli,afternoon,believ,northern_norway,oslo,remain,leftov,survey,rang,reveal,deliveri,spoke,lowest,fallen,breeder,pay,trader,hesit,kroner,throughout,declin,uncertain,flat,fluctuat,tough,summer,hear
 ,0.076,0.053,0.049,0.044,0.03,0.027,0.024,0.021,0.019,0.018,0.018,0.017,0.015,0.015,0.015,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic19,franc,french,de,spain,spanish,busi,european,labeyri,europ,bass,food,countri,aim,supplier,itali,bream,trout,mer,angula,sur,firm,aguinaga,smoked_salmon,amp,hake,boulogn,open,intern,doubl,financi,line,addit,saumon,move,aquapon,local,la,largest,annual,processor,turkey,smoker,italian,help,run,project,part,suppli,step,northern,united_kingdom,found,turkish,cape,le,surimi,nation,distribut,sector,prepar,strategi,pari,fine,mediterranean,greek,portobello,januari,wider,occitan,end,greec,iberconsa,farn,carrefour,face,seabass,multin,middl,factori,cooper,goumain,abu,switzerland,cherbourg,norcantabr,avramar,viciunai,among,dhabi,turnov,african,want,brittani,seabream,ajinomoto,africa,cite,normandi,novo,ramirez
 ,0.06,0.037,0.024,0.019,0.016,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic20,sector,global,grow,world,countri,look,becom,challeng,next,need,lead,opportun,exampl,play,across,success,alreadi,decad,differ,aquaculture_sector,key,aquaculture_industri,among,salmon_farming_industri,emerg,economi,readi,seafood_sector,role,particular,increasingli,salmon_sector,ago,particularli,attract,popul,player,within,leader,best,highlight,rapidli,worldwid,along,seafood_industri,face,perspect,place,massiv,faster,clearli,histori,biggest,find,hand,hurdl,pace,fragment,help,view,matur,huge,grown,behind,natur,term,pioneer,palm,tabl,power,futur,agenda,trend,move,today,globe,recent_year,eye,nich,compet,tradit,inher,overcom,wider,add,expertis,fundament,signific,varieti,plenti,willing,technic,front,necessarili,driver,midst,healthi,draw,wide,open
 ,0.114,0.057,0.054,0.051,0.03,0.025,0.02,0.018,0.016,0.015,0.014,0.014,0.013,0.013,0.013,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic21,escap,site,net,cage,storm,pen,damag,weather,number,incid,structur,recaptur,condit,discov,farmed_salmon,due,fine,directorate_of_fisheri,hole,weight,occur,estim,wind,author,count,confirm,massiv,sink,moor,lost,averag,batter,caus,effort,weigh,caught,aug,repair,inform,area,recov,tear,prevent,august,figur,offici,netpen,equip,belong,connect,inspect,hit,tide,suffer,involv,sma,punta,far,los_lago,weekend,wave,record,southern,whale,found,dec,predat,sank,reveal,crack,stormi,anchor,meter,juli,possibl,unusu,observ,redonda,error,seab,may,fishermen,captur,modul,bottom,must,accur,saturday,led,routin,superintend,local,drone,environment,ten,deploy,rescu,regular,ring,coast
 ,0.12,0.056,0.044,0.039,0.03,0.025,0.022,0.017,0.017,0.016,0.013,0.012,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic22,fall,drop,declin,fell,lower,hit,saw,low,due,despit,decreas,took,plummet,sever,slip,dip,recoveri,trend,recov,suffer,percent_drop,volum,led,sharpli,slump,struggl,slide,sharp,fallen,meanwhil,slightli,except,steep,plung,downward,overal,third,drag,salmon_pric,slash,biggest,tough,sink,tumbl,poor,toll,mix,rise,nearli,contrast,revers,downturn,crash,drastic,disappoint,experienc,across,slid,turn,buck,blame,dramat,oversuppli,character,rose,pull,half,nosed,fewer,slight,although,inventori,rescu,subsequ,shrank,respect,nevertheless,softer,hurt,lost,reveal,mark,almost,came,year_on_year,hike,stumbl,heavi,loser,bottom,shrunk,reduc,massiv,collaps,went,drove,fare,nowher,row,bolster
 ,0.093,0.083,0.078,0.057,0.051,0.041,0.033,0.027,0.025,0.02,0.018,0.018,0.015,0.015,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic23,consum,consumpt,eat,food,trend,onlin,chang,home,buy,gener,peopl,spend,purchas,healthi,pound,capita,categori,choic,meal,benefit,shop,among,shift,demand,opportun,commerc,grow,drive,point,direct,becom,prepar,live,habit,store,particular,conveni,health,wild,educ,prefer,easi,afford,person,respond,groceri,eye,format,shopper,present,american,friendli,age,outlet,spent,differ,expenditur,percept,dine,pay,younger,often,quick,want,tradit,demograph,enjoy,household,behavior,survey,specialist,nielsen,european,driver,user,bird,marketplac,adapt,millenni,favorit,navig,slowli,vital,dinner,casual,choos,vp,tast,packag,lent,fastest,recip,bought,cook,lee,comparison,beat,portion,stick,similarli
 ,0.146,0.059,0.028,0.027,0.02,0.02,0.017,0.015,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic24,week,head,brazil,united_st,wholesal,size,remain,pound,coho,frozen,kilo,trout,japan,trim,chilean_salmon,averag,us_market,chilean_salmon_pric,slightli,fell,latest,stabl,rose,atlantic_salmon,kilogram,stay,drop,chile,brazilian,japanes,flat,average_pric,fillet,whole,chilean,reach,ship,datasalmon,meanwhil,china,figures_from_datasalmon,hit,unchang,rise,gut,saw,respect,climb,salmonex,kilo_on_averag,jpi,static,fresh,weekli,slight,rel,index,fob,releas,prior,dip,number,stood,fall,statist,nudg,flatlin,miami,jump,destin,data,hg,went,steadi,crept,weight,stabil,previou,tuesday,row,independ,consider,collect,visit,web,shanghai,tini,cent,salmon_pric,creep,montt,inform,puerto,budg,pmc,cfr,inch,repres,downward,chang
 ,0.073,0.066,0.04,0.036,0.03,0.027,0.027,0.027,0.026,0.026,0.023,0.022,0.021,0.021,0.021,0.02,0.016,0.016,0.015,0.014,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic25,land,ra,project,based_salmon_farm,facil,based_salmon,recirculating_aquaculture_system,technolog,qualiti,financ,based_aquacultur,build,announc,metric_ton,partner,scale,pure_salmon,invest,tradit,grow,success,swedish,aquamaof,firm,largest,sweden,supplier,lighthous,recent,requir,park,grown,convent,establish,netpen,recircul,world,based_salmon_product,hoia,built,aquaculture_system,aqua,freshwat,ton,support,experi,billund,premium,local,investor,earli,equip,ventur,design,danish,poland,chose,past,based_salmon_produc,ink,expertis,columbi,denmark,atlantic_salmon,europ,involv,atlantic_salmon_farm,sotena,chosen,concept,asset,choic,rais,proof,east,israel,metric,green,potenti,proxim,municip,veolia,tech,method,kaldn,japan,vinci,slew,knowledg,siemen,excit,feasibl,virginia,coupl,togeth,latest,charg,succeed,boom,fish_farm
 ,0.188,0.066,0.064,0.036,0.027,0.022,0.021,0.018,0.015,0.014,0.014,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic26,iceland,samherji,arnarlax,within,isi,potenti,icelandic_salmon,intern,laxar,gener,opportun,aim,proximar,director,next,alreadi,subsidiari,licens,icelandic_salmon_farm,irish,europ,sign,good,owner,agreement,total,giant,gadu,activ,explor,creat,fish_farm,jonsson,nielsen,countri,japan,key,begin,addit,great,oceanpath,establish,deal,third,interest,oct,davidsson,son,fjord,grow,isk,next_year,fiskeldi,east,knowledg,annual,initi,access,handl,arnalax,run,strong,enter,belgian,complet,carr,set,excit,framework,last_year,mount,belgium,char,ireland,erupt,output,cooper,jon,extern,approxim,parti,lead,holder,hb,kjartan,coast,japanes,southern,remain,armannsson,grandi,måsøval,spain,formerli,intent,brim,everyth,volcano,decemb,divest
 ,0.124,0.016,0.015,0.014,0.013,0.013,0.013,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic27,earn,revenu,tax,ebitda,earnings_before_interest,amort,depreci,loss,post,strong,segment,profit,quarter,improv,divis,fourth_quart,cost,despit,higher,first_half,first_quart,busi,percent_increas,thank,net,third_quart,saw,full_year,rose,perform,percent_year,percent_year_on_year,prior,margin,ebit,boost,second_quart,demort,driven,lift,reflect,adjust,offset,across,posit,condit,fell,stronger,contribut,incom,year_on_year,flat,second_half,rocket,red,ebit_per_kilo,earlier,taxat,recoveri,led,drive,tripl,better,doubl,nudg,drag,overal,slight,reveal,reduct,end,grew,mainli,turnaround,solid,save,effici,hike,black,widen,came,benefit,lower,due,meant,reap,combin,attribut,compar,backdrop,fold,high_pric,unaudit,rescu,unfavor,strongli,fair,percent_drop,toll,poorer
 ,0.077,0.066,0.063,0.062,0.047,0.041,0.037,0.031,0.027,0.023,0.023,0.022,0.02,0.019,0.018,0.018,0.017,0.016,0.015,0.014,0.014,0.014,0.013,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0
topic28,grieg,grieg_seafood,canada,region,newfoundland,canadian,east,shetland,bay,coast,finnmark,relat,northern,rogaland,british_columbia,impact,eastern,provinc,atlant,labrador,kvame,challeng,annual,cad,nl,hatcheri,licens,west,potenti,ceo_andreas_kvam,biolog,qualiti,area,bc,north_america,placentia,atlantic_salmon,harvest_volum,surviv,aim,fish_health,approxim,mowi_canada,interest,furn,issu,announc,compris,gold,prior,cite,part,divest,previous,depart,sea_farm,winter,ceas,total,cbc,write,disclos,provinci,signific,marystown,drove,bergen,licenc,exclud,department_of_fisheri,target,byrn,stood,suspend,cover,brunswick,synergi,kristina,better,strengthen,manner,resourc,north_american,priorit,norwegian_salmon_farm,downgrad,andrea,failur,affair,risley,norwegian_salmon_produc,ulcer,lane,transfer,norri,salmon_produc,seafarm,forestri,rethink,organiz
 ,0.111,0.073,0.069,0.037,0.037,0.026,0.021,0.02,0.017,0.016,0.015,0.014,0.013,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic29,fire,caus,investig,insur,incid,immedi,spokesperson,damag,issu,carri,event,place,show,sever,releas,happen,occur,claim,lost,unfortun,accid,identifi,seriou,fulli,quickli,polic,failur,taken,kill,stop,director,die,offic,destroy,note,took,spill,press,rebuild,local,serious,unabl,control,morn,clean,devast,sunday,confirm,financi,avoid,suffer,unknown,detail,near,statement,left,conclud,danger,materi,broke,human,last_month,area,warn,diver,overnight,conduct,injuri,leak,hundr,cover,clarifi,thursday,problem,ongo,video,reaction,comment,knock,re,thousand,estim,sent,substanti,empti,procedur,got,yet,possibl,read,surround,emerg,updat,dead,liter,brown,electr,preliminari,wrote,situat
 ,0.039,0.039,0.029,0.02,0.019,0.017,0.017,0.015,0.015,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002
topic30,profit,end,loss,revenu,turnov,amount,operating_profit,post,last_year,net,previous_year,earn,improv,financial_year,margin,annual_report,compar,dividend,fiscal_year,due,board,account,jump,wrote,challeng,despit,tax,total,prior,debt,equiti,balanc,percent_year,saw,gross,significantli,march,processor,asset,sekkingstad,record,deliv,salmon_pric,subsidiari,financi,annual,solid,previou,dec,slaughter,latest,pleas,norwegian_salmon,incom,black,throughout,associ,strong,turn,norwegian_salmon_produc,narrow,doubl,good,came,ellingsen,nevertheless,shellfish,seaborn,lak,pre,villa,nearli,activ,princip,halibut,remain,paid,signific,satisfactori,book,pure,parent_compani,mainli,sheet,line,trader,trondheim,favor,fiskeoppdrett,satisfi,liabil,except,overal,firm,impair,last,tangibl,toll,skagerak,full_year
 ,0.095,0.05,0.036,0.032,0.03,0.026,0.026,0.024,0.023,0.02,0.018,0.015,0.015,0.015,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
topic31,food,frozen,busi,japanes,trade,crab,japan,lobster,shellfish,nissui,maruha_nichiro,import,giant,fisheri,liner,marubeni,marin,tariff,scallop,oversea,north_american,pollock,seafood_compani,expand,squid,oyster,surimi,domest,north_america,snow,united_st,seafood_gi,incom,suisan,mitsui,jpi,tuna,nfi,alaska_pollock,europ,greenland,presid,mussel,american,billion,bluefin,nippon,america,segment,pacif,subsidiari,clam,clearwat,atlant,decreas,mark,frosta,fillet,war,meat,exclus,asian,kaisha,ito,speci,conglomer,yen,trump,fri,shell,street,royal,hepponstal,nomad,live,flounder,tokyo,cod,block,nichirei,king,roe,mackerel,septemb,april,eye,unit,divis,yellowtail,ikemi,rang,stavi,movement,citi,expans,worth,procur,octopu,netherland,eastern
 ,0.037,0.035,0.031,0.028,0.027,0.027,0.024,0.018,0.017,0.015,0.014,0.014,0.014,0.014,0.013,0.013,0.012,0.012,0.012,0.011,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic32,russia,import,russian,countri,ban,restrict,pollock,export,lift,agenc,cold,far,place,storag,fisheri,east,pacif,offici,econom,head,author,overal,hope,servic,end,commun,farmed_salmon,director,novemb,catch,inspect,plant,central,domestic_market,belaru,rosrybolovstvo,feder,rosselkhoznadzor,temporari,perman,given,thank,begin,kamchatka,govern,veterinari,visit,via,impos,singl,monitor,foreign,enhanc,domest,octob,gallardo,kazakhstan,meet,feb,zone,abroad,allow,jan,six,refriger,eurasian,lack,remain,break,eaec,shut,supplier,bulk,dialogu,phytosanitari,took,moscow,laboratori,deputi,salmon_processing_pl,st,sooner,open,closur,reason,forum,union,shipment,alicia,cermaq,krai,among,surveil,alvarez,implement,resum,substanc,ii,primorskiy,rfc
 ,0.068,0.045,0.043,0.037,0.026,0.024,0.02,0.019,0.019,0.018,0.015,0.015,0.015,0.015,0.014,0.014,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
